Time_ps	Amplitude_V
0.000	0.018
0.078	0.036
0.156	0.054
0.234	0.072
0.313	0.090
0.391	0.108
0.469	0.126
0.547	0.144
0.625	0.162
0.703	0.180
0.781	0.198
0.859	0.216
0.938	0.234
1.016	0.252
1.094	0.270
1.172	0.288
1.250	0.306
1.328	0.324
1.406	0.342
1.484	0.360
1.563	0.378
1.641	0.396
1.719	0.414
1.797	0.432
1.875	0.450
1.953	0.468
2.031	0.486
2.109	0.504
2.188	0.522
2.266	0.540
2.344	0.558
2.422	0.576
2.500	0.594
2.578	0.612
2.656	0.630
2.734	0.648
2.813	0.666
2.891	0.684
2.969	0.702
3.047	0.720
3.125	0.738
3.203	0.756
3.281	0.774
3.359	0.792
3.438	0.810
3.516	0.828
3.594	0.846
3.672	0.864
3.750	0.882
3.828	0.900
3.906	0.918
3.984	0.936
4.063	0.954
4.141	0.972
4.219	0.990
4.297	1.008
4.375	1.026
4.453	1.044
4.531	1.062
4.609	1.080
4.688	1.098
4.766	1.116
4.844	1.134
4.922	1.152
5.000	1.170
