Power_dBm	BER	Q_factor
-20.0	1.23e-03	2.85
-19.5	8.45e-04	2.95
-19.0	5.67e-04	3.05
-18.5	3.72e-04	3.15
-18.0	2.38e-04	3.25
-17.5	1.48e-04	3.35
-17.0	8.95e-05	3.45
-16.5	5.25e-05	3.55
-16.0	2.98e-05	3.65
-15.5	1.63e-05	3.75
-15.0	8.65e-06	3.85
-14.5	4.42e-06	3.95
-14.0	2.18e-06	4.05
-13.5	1.04e-06	4.15
-13.0	4.78e-07	4.25
-12.5	2.12e-07	4.35
-12.0	9.01e-08	4.45
-11.5	3.67e-08	4.55
-11.0	1.43e-08	4.65
-10.5	5.32e-09	4.75
-10.0	1.88e-09	4.85
-9.5	6.28e-10	4.95
-9.0	1.95e-10	5.05
-8.5	5.67e-11	5.15
-8.0	1.52e-11	5.25
-7.5	3.78e-12	5.35
-7.0	8.65e-13	5.45
-6.5	1.82e-13	5.55
-6.0	3.45e-14	5.65
-5.5	5.98e-15	5.75
-5.0	9.23e-16	5.85
